COUNTRY,Country,TIME_PERIOD,OBS_VALUE,Population_millions,Patents_per_million
AUS,Australia,2021,176.609,27.0,6.541074074074074
AUS,Australia,2020,179.502,27.0,6.6482222222222225
AUS,Australia,2022,54.202,27.0,2.007481481481481
AUS,Australia,2021,57.902,27.0,2.1445185185185185
AUS,Australia,2021,43.517,27.0,1.611740740740741
AUS,Australia,2020,44.875,27.0,1.662037037037037
AUS,Australia,2020,40.817,27.0,1.5117407407407408
AUS,Australia,2021,194.809,27.0,7.215148148148148
AUS,Australia,2020,175.942,27.0,6.516370370370371
AUS,Australia,2022,253.465,27.0,9.387592592592593
AUS,Australia,2021,287.97,27.0,10.665555555555557
AUS,Australia,2020,290.13,27.0,10.745555555555555
AUS,Australia,2021,266.048,27.0,9.85362962962963
AUS,Australia,2020,281.804,27.0,10.437185185185184
AUS,Australia,2022,23.389,27.0,0.8662592592592593
AUS,Australia,2021,26.908,27.0,0.9965925925925926
AUS,Australia,2021,24.389,27.0,0.9032962962962963
AUS,Australia,2020,26.908,27.0,0.9965925925925926
AUS,Australia,2020,24.1,27.0,0.8925925925925926
AUS,Australia,2022,203.638,27.0,7.542148148148148
AUS,Australia,2021,169.12,27.0,6.263703703703704
AUS,Australia,2020,188.37,27.0,6.976666666666667
AUS,Australia,2021,212.055,27.0,7.853888888888889
AUS,Australia,2020,167.704,27.0,6.2112592592592595
AUS,Australia,2022,209.628,27.0,7.763999999999999
AUS,Australia,2021,199.958,27.0,7.4058518518518515
AUS,Australia,2020,284.246,27.0,10.52762962962963
AUS,Australia,2021,222.212,27.0,8.230074074074073
AUS,Australia,2020,218.308,27.0,8.085481481481482
AUS,Australia,2022,176.317,27.0,6.530259259259259
AUS,Australia,2021,263.765,27.0,9.769074074074073
AUS,Australia,2020,246.842,27.0,9.142296296296296
AUS,Australia,2021,193.8,27.0,7.177777777777778
AUS,Australia,2020,256.815,27.0,9.511666666666667
AUS,Australia,2022,180.617,27.0,6.689518518518518
AUS,Australia,2021,210.508,27.0,7.796592592592593
AUS,Australia,2020,188.154,27.0,6.968666666666667
AUS,Australia,2021,190.193,27.0,7.044185185185186
